run_id,symbol,timeframe,entry_mode,neely_gate,vol_gate,minPlanScore,IS_n_trades,IS_win_rate,IS_profit_factor,IS_expectancy_r,IS_avg_win_r,IS_avg_loss_r,IS_total_r,IS_max_dd_r,IS_max_dd_pct,IS_max_consec_l,IS_cagr_r,IS_exposure,IS_sample_warn,OOS_n_trades,OOS_win_rate,OOS_profit_factor,OOS_expectancy_r,OOS_avg_win_r,OOS_avg_loss_r,OOS_total_r,OOS_max_dd_r,OOS_max_dd_pct,OOS_max_consec_l,OOS_cagr_r,OOS_exposure,OOS_sample_warn,overfit_flag
BTCUSDT_1h_both_neely-off_vol-off_mps4.0_default,BTC/USDT,1h,both,False,False,4.0,1025,0.32,0.825,-0.0799,1.1756,-0.6708,-81.939,88.644,44.9564,14,-26.37,0.3789,False,449,0.3831,0.981,-0.0084,1.1239,-0.7116,-3.794,21.316,2.1358,19,-2.849,0.386,False,False
BTCUSDT_1h_both_neely-off_vol-off_mps4.0_fib_diag_emph,BTC/USDT,1h,both,False,False,4.0,983,0.3316,0.846,-0.0742,1.2276,-0.7201,-72.9,78.963,26.7797,15,-23.461,0.3897,False,425,0.3835,1.011,0.0054,1.2545,-0.7717,2.281,23.965,1.7013,13,1.713,0.4003,False,False
BTCUSDT_1h_both_neely-off_vol-off_mps2.5_default,BTC/USDT,1h,both,False,False,2.5,839,0.317,0.812,-0.1056,1.4393,-0.8227,-88.591,96.02,14.8259,17,-28.511,0.3671,False,337,0.365,1.05,0.0279,1.6125,-0.8829,9.39,26.827,1.7886,8,7.051,0.4183,False,False
BTCUSDT_1h_both_neely-off_vol-off_mps2.5_fib_diag_emph,BTC/USDT,1h,both,False,False,2.5,853,0.3259,0.831,-0.0945,1.4252,-0.8293,-80.643,88.565,12.7799,17,-25.953,0.369,False,346,0.3671,1.057,0.0322,1.6228,-0.8902,11.147,27.485,1.4515,9,8.37,0.4361,False,False
BTCUSDT_1h_both_neely-off_vol-off_mps3.0_default,BTC/USDT,1h,both,False,False,3.0,911,0.3139,0.794,-0.1084,1.3295,-0.7663,-98.716,105.873,17.0661,18,-31.769,0.3441,False,370,0.3973,1.111,0.0554,1.3914,-0.8253,20.506,14.57,3.8893,13,15.398,0.4111,False,False
BTCUSDT_1h_both_neely-off_vol-off_mps3.0_fib_diag_emph,BTC/USDT,1h,both,False,False,3.0,882,0.3186,0.797,-0.1125,1.3841,-0.8122,-99.183,108.569,12.9337,18,-31.919,0.3619,False,362,0.3867,1.074,0.0398,1.495,-0.8778,14.425,21.662,1.5804,10,10.832,0.4307,False,False
BTCUSDT_1h_both_neely-off_vol-off_mps4.0_default,BTC/USDT,1h,both,False,False,4.0,1025,0.32,0.825,-0.0799,1.1756,-0.6708,-81.939,88.644,44.9564,14,-26.37,0.3789,False,449,0.3831,0.981,-0.0084,1.1239,-0.7116,-3.794,21.316,2.1358,19,-2.849,0.386,False,False
BTCUSDT_1h_both_neely-off_vol-off_mps4.0_fib_diag_emph,BTC/USDT,1h,both,False,False,4.0,983,0.3316,0.846,-0.0742,1.2276,-0.7201,-72.9,78.963,26.7797,15,-23.461,0.3897,False,425,0.3835,1.011,0.0054,1.2545,-0.7717,2.281,23.965,1.7013,13,1.713,0.4003,False,False
BTCUSDT_1h_both_neely-off_vol-off_mps2.5_default,BTC/USDT,1h,both,False,False,2.5,839,0.317,0.812,-0.1056,1.4393,-0.8227,-88.591,96.02,14.8259,17,-28.511,0.3671,False,337,0.365,1.05,0.0279,1.6125,-0.8829,9.39,26.827,1.7886,8,7.051,0.4183,False,False
BTCUSDT_1h_both_neely-off_vol-off_mps2.5_fib_diag_emph,BTC/USDT,1h,both,False,False,2.5,853,0.3259,0.831,-0.0945,1.4252,-0.8293,-80.643,88.565,12.7799,17,-25.953,0.369,False,346,0.3671,1.057,0.0322,1.6228,-0.8902,11.147,27.485,1.4515,9,8.37,0.4361,False,False
BTCUSDT_1h_both_neely-off_vol-off_mps3.0_default,BTC/USDT,1h,both,False,False,3.0,911,0.3139,0.794,-0.1084,1.3295,-0.7663,-98.716,105.873,17.0661,18,-31.769,0.3441,False,370,0.3973,1.111,0.0554,1.3914,-0.8253,20.506,14.57,3.8893,13,15.398,0.4111,False,False
BTCUSDT_1h_both_neely-off_vol-off_mps3.0_fib_diag_emph,BTC/USDT,1h,both,False,False,3.0,882,0.3186,0.797,-0.1125,1.3841,-0.8122,-99.183,108.569,12.9337,18,-31.919,0.3619,False,362,0.3867,1.074,0.0398,1.495,-0.8778,14.425,21.662,1.5804,10,10.832,0.4307,False,False
BTCUSDT_1h_both_neely-off_vol-off_mps4.0_default,BTC/USDT,1h,both,False,False,4.0,1025,0.32,0.825,-0.0799,1.1756,-0.6708,-81.939,88.644,44.9564,14,-26.37,0.3789,False,449,0.3831,0.981,-0.0084,1.1239,-0.7116,-3.794,21.316,2.1358,19,-2.849,0.386,False,False
BTCUSDT_1h_both_neely-off_vol-off_mps4.0_fib_diag_emph,BTC/USDT,1h,both,False,False,4.0,983,0.3316,0.846,-0.0742,1.2276,-0.7201,-72.9,78.963,26.7797,15,-23.461,0.3897,False,425,0.3835,1.011,0.0054,1.2545,-0.7717,2.281,23.965,1.7013,13,1.713,0.4003,False,False
BTCUSDT_1h_both_neely-off_vol-off_mps2.5_default,BTC/USDT,1h,both,False,False,2.5,839,0.317,0.812,-0.1056,1.4393,-0.8227,-88.591,96.02,14.8259,17,-28.511,0.3671,False,337,0.365,1.05,0.0279,1.6125,-0.8829,9.39,26.827,1.7886,8,7.051,0.4183,False,False
BTCUSDT_1h_both_neely-off_vol-off_mps2.5_fib_diag_emph,BTC/USDT,1h,both,False,False,2.5,853,0.3259,0.831,-0.0945,1.4252,-0.8293,-80.643,88.565,12.7799,17,-25.953,0.369,False,346,0.3671,1.057,0.0322,1.6228,-0.8902,11.147,27.485,1.4515,9,8.37,0.4361,False,False
BTCUSDT_1h_both_neely-off_vol-off_mps3.0_default,BTC/USDT,1h,both,False,False,3.0,911,0.3139,0.794,-0.1084,1.3295,-0.7663,-98.716,105.873,17.0661,18,-31.769,0.3441,False,370,0.3973,1.111,0.0554,1.3914,-0.8253,20.506,14.57,3.8893,13,15.398,0.4111,False,False
BTCUSDT_1h_both_neely-off_vol-off_mps3.0_fib_diag_emph,BTC/USDT,1h,both,False,False,3.0,882,0.3186,0.797,-0.1125,1.3841,-0.8122,-99.183,108.569,12.9337,18,-31.919,0.3619,False,362,0.3867,1.074,0.0398,1.495,-0.8778,14.425,21.662,1.5804,10,10.832,0.4307,False,False
BTCUSDT_1h_both_neely-off_vol-off_mps4.0_default,BTC/USDT,1h,both,False,False,4.0,1025,0.32,0.825,-0.0799,1.1756,-0.6708,-81.939,88.644,44.9564,14,-26.37,0.3789,False,449,0.3831,0.981,-0.0084,1.1239,-0.7116,-3.794,21.316,2.1358,19,-2.849,0.386,False,False
BTCUSDT_1h_both_neely-off_vol-off_mps4.0_fib_diag_emph,BTC/USDT,1h,both,False,False,4.0,983,0.3316,0.846,-0.0742,1.2276,-0.7201,-72.9,78.963,26.7797,15,-23.461,0.3897,False,425,0.3835,1.011,0.0054,1.2545,-0.7717,2.281,23.965,1.7013,13,1.713,0.4003,False,False
